address,city,lat,long,name,province
175 High St,Portsmouth,43.07893,-70.759527,A and G Homebrew Supply,NH
222 N 1st Ave,Sandpoint,48.274623999999996,-116.54751,A and P Bar and Grill,ID
483 S Kirkwood Rd,Stlouis,38.57458,-90.406531,A B S Coffee Repair,MO
38 Blake St,Brewer,44.791047999999996,-68.760766,A Better Image,ME
12 Mcguinness Blvd S,Brooklyn,40.72241586,-73.94694911,A Brooklyn Brew Experiment,NY
162 Parkway S,Brewer,44.780025,-68.76066999999999,A J Scott Systems Inc,ME
550 Island Ln,W Haven,41.2628,-72.97638,A Plus Plumbing and Heating,CT
1215 Tuscarawas St W,Canton,40.8006,-81.38611999999999,A R Whistle Stop,OH
219 Chamberlain St,Brewer,44.78572,-68.750293,A U Liberatore Dds,ME
209 Battery Saint 100,Burlington,44.473512,-73.218899,A&s Brewing Collaborative Llc,VT
2640 N Dickenson Ave,Fresno,36.774384000000005,-119.97003000000001,A. Nonini Winery,CA
112 Medinah Ct,Frankfort,38.184165,-84.79192900000001,A-1 Window Tinting,KY
1 King St,St. Augustine,29.891978,-81.311144,A1a Ale Works,FL
3112 Palm Ave,Fortmyers,26.619771999999998,-81.856486,Aaa Florida Vending,FL
55 Center St,Brewer,44.797064,-68.76246400000001,Aaa Lock Safe & Security,ME
115 Workshop Ln,Jacksonville,34.77997164,-77.38788415,Abc Store,NC
3299 Hwy 46 S,Dickson,35.976844,-87.315152,Abiff's Pub,TN
21084 Highway 36,Abita Springs,30.481932,-90.0565,Abita Brewing Company,LA
1121 Quincy St N E,Minneapolis,44.998965999999996,-93.25121,Able Seedhouse + Brewery,MN
16990 Via Tazon,San Diego,33.023852000000005,-117.08575900000001,Abnormal Beer Co,CA
531 S Main St,Brewer,44.77227,-68.78028,Above Beyond Hair Salon,ME
311 10th St,Golden,39.760011999999996,-105.21848,Ac Golden Brewing Co,CO
2603 Simpson Ave,Hoquiam,46.975229999999996,-123.86538,Ace of Clubs Tavern,WA
11 Main St W,Dutton,47.848152,-111.717026,Aces High Tavern,MT
510 Belleview,Crestedbutte,38.867028000000005,-106.98239,Acme Liquor Store,CO
1795 Hancock St,San Diego,32.742987,-117.185717,Acoustic Ales Brewing Experiment,CA
119 N Maple St,Traversecity,44.764263,-85.63296899999999,Acoustic Brewing Co,MI
3116 John D Odom Rd,Dothan,31.275806,-85.449793,Adams Beverages,AL
508 Walker St,Opelika,32.650487,-85.357366,Adams Beverages Inc,AL
104 N Lewis St,Monroe,47.85594013,-121.97099250000001,Adam's Northwest Bistro and Brewery,WA
193 Main St,Biddeford,43.493429,-70.455833,Adams Street Pub,ME
26421 Highway 47,Gaston,45.406712,-123.126351,Adea Wine Co,OR
